year,ISO3,ADM0_EN,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,F_TL,M_TL,T_TL,F_00_04,F_05_09,F_10_14,F_15_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65_69,F_70_74,F_75_79,F_80Plus,M_00_04,M_05_09,M_10_14,M_15_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65_69,M_70_74,M_75_79,M_80Plus,T_00_04,T_05_09,T_10_14,T_15_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65_69,T_70_74,T_75_79,T_80Plus
2023,THA,Thailand,TH,Chiang Mai,TH50,Mae On,TH5023,"10,404","10,968","21,372",430,388,417,434,335,465,505,551,820,"1,109","1,169","1,095",755,524,440,451,516,444,443,492,528,387,530,552,581,810,"1,089","1,211","1,206",863,578,449,390,415,874,831,909,962,722,995,"1,057","1,132","1,630","2,198","2,380","2,301","1,618","1,102",889,841,931
2023,THA,Thailand,TH,Chiang Mai,TH50,Mae Rim,TH5007,"45,660","44,674","90,334","1,849","1,856","2,119","2,487","2,549","2,615","2,626","2,452","3,221","4,211","4,840","4,428","3,085","2,303","1,787","1,547","1,685","2,003","1,982","2,264","3,035","3,068","2,849","2,694","2,370","2,831","3,878","4,570","3,916","2,812","2,130","1,676","1,290","1,306","3,852","3,838","4,383","5,522","5,617","5,464","5,320","4,822","6,052","8,089","9,410","8,344","5,897","4,433","3,463","2,837","2,991"
2023,THA,Thailand,TH,Chiang Mai,TH50,Mae Taeng,TH5006,"32,591","32,825","65,416","1,353","1,428","1,554","1,218","1,001","1,313","1,403","1,506","2,167","3,054","3,971","3,705","2,577","1,963","1,599","1,441","1,338","1,465","1,535","1,588","1,470","1,201","1,530","1,535","1,604","1,903","3,113","3,817","3,660","2,589","1,907","1,540","1,236","1,132","2,818","2,963","3,142","2,688","2,202","2,843","2,938","3,110","4,070","6,167","7,788","7,365","5,166","3,870","3,139","2,677","2,470"
2023,THA,Thailand,TH,Chiang Mai,TH50,Mae Wang,TH5022,"16,404","16,376","32,780",798,839,865,727,659,844,783,778,"1,089","1,527","1,690","1,578","1,183",823,694,684,843,855,902,908,849,688,931,868,794,"1,051","1,472","1,600","1,610","1,184",774,594,637,659,"1,653","1,741","1,773","1,576","1,347","1,775","1,651","1,572","2,140","2,999","3,290","3,188","2,367","1,597","1,288","1,321","1,502"
2023,THA,Thailand,TH,Chiang Mai,TH50,Mueang Chiang Mai,TH5001,"224,754","214,329","439,083","5,347","6,108","6,706","22,101","32,264","21,678","16,134","12,482","14,014","17,039","17,758","15,855","12,496","8,444","5,892","4,997","5,439","5,533","5,454","7,443","21,189","34,321","23,298","16,776","12,741","13,177","14,390","16,533","14,690","10,669","7,340","4,750","2,945","3,080","10,880","11,562","14,149","43,290","66,585","44,976","32,910","25,223","27,191","31,429","34,291","30,545","23,165","15,784","10,642","7,942","8,519"
2023,THA,Thailand,TH,Chiang Mai,TH50,Omkoi,TH5018,"36,822","37,137","73,959","3,665","4,268","3,304","2,468","2,388","2,441","2,124","1,896","2,290","2,027","1,952","2,040","1,792","1,416","1,107",717,927,"3,928","4,547","3,353","2,534","2,453","2,670","2,281","1,977","2,204","2,054","2,019","2,187","1,690","1,280",781,524,655,"7,593","8,815","6,657","5,002","4,841","5,111","4,405","3,873","4,494","4,081","3,971","4,227","3,482","2,696","1,888","1,241","1,582"
2023,THA,Thailand,TH,Chiang Mai,TH50,Phrao,TH5011,"18,475","18,554","37,029",763,800,812,624,385,531,671,862,"1,257","1,839","2,352","2,118","1,638","1,175",953,800,895,765,800,830,739,488,601,680,856,"1,249","1,823","2,239","2,146","1,649","1,180",941,832,736,"1,528","1,600","1,642","1,363",873,"1,132","1,351","1,718","2,506","3,662","4,591","4,264","3,287","2,355","1,894","1,632","1,631"
2023,THA,Thailand,TH,Chiang Mai,TH50,Samoeng,TH5008,"12,176","12,915","25,091",759,705,596,519,538,761,696,725,886,"1,043","1,026",981,758,707,584,414,478,727,828,689,537,553,777,716,739,902,"1,174","1,184","1,064",888,711,518,468,440,"1,486","1,533","1,285","1,056","1,091","1,538","1,412","1,464","1,788","2,217","2,210","2,045","1,646","1,418","1,102",882,918
2023,THA,Thailand,TH,Chiang Mai,TH50,San Kamphaeng,TH5013,"41,153","37,977","79,130","1,386","1,447","1,526","1,762","1,652","2,096","2,092","2,000","3,061","4,265","4,890","4,517","3,263","1,812","1,884","1,592","1,908","1,498","1,444","1,586","2,038","1,719","2,191","2,268","1,845","2,679","3,742","4,243","3,778","2,921","1,793","1,510","1,439","1,283","2,884","2,891","3,112","3,800","3,371","4,287","4,360","3,845","5,740","8,007","9,133","8,295","6,184","3,605","3,394","3,031","3,191"
2023,THA,Thailand,TH,Chiang Mai,TH50,San Pa Tong,TH5012,"33,961","31,638","65,599",943,"1,082","1,198","1,234","1,003","1,319","1,452","1,405","2,063","3,165","4,159","4,170","3,048","2,098","1,617","1,749","2,256","1,033","1,190","1,258","1,544","1,151","1,477","1,614","1,362","1,893","2,800","3,627","3,719","2,777","1,685","1,370","1,460","1,678","1,976","2,272","2,456","2,778","2,154","2,796","3,066","2,767","3,956","5,965","7,786","7,889","5,825","3,783","2,987","3,209","3,934"
2023,THA,Thailand,TH,Chiang Mai,TH50,San Sai,TH5014,"71,001","57,649","128,650","2,280","2,553","2,588","5,857","5,688","3,974","4,077","3,598","4,812","6,349","7,485","6,854","4,989","3,178","2,548","2,033","2,138","2,318","2,339","2,650","4,510","4,211","3,785","3,515","3,072","3,719","4,813","5,714","5,272","3,967","2,777","1,872","1,690","1,425","4,598","4,892","5,238","10,367","9,899","7,759","7,592","6,670","8,531","11,162","13,199","12,126","8,956","5,955","4,420","3,723","3,563"
2023,THA,Thailand,TH,Chiang Mai,TH50,Saraphi,TH5019,"30,409","27,066","57,475",999,"1,098","1,103","1,306","1,273","1,683","1,604","1,529","2,102","2,963","3,595","3,274","2,155","1,590","1,575","1,285","1,275","1,003","1,086","1,160","1,405","1,347","1,699","1,647","1,423","1,791","2,553","2,932","2,863","1,729","1,307","1,200","1,040",881,"2,002","2,184","2,263","2,711","2,620","3,382","3,251","2,952","3,893","5,516","6,527","6,137","3,884","2,897","2,775","2,325","2,156"
2023,THA,Thailand,TH,Chiang Mai,TH50,Wiang Haeng,TH5020,"11,358","11,268","22,626",853,914,895,628,428,628,746,690,813,842,989,841,722,514,375,196,284,898,994,"1,021",742,474,585,639,654,789,756,878,850,676,475,405,218,214,"1,751","1,908","1,916","1,370",902,"1,213","1,385","1,344","1,602","1,598","1,867","1,691","1,398",989,780,414,498
2023,THA,Thailand,TH,Nong Khai,TH43,Si Chiang Mai,TH4307,"9,062","8,452","17,514",503,584,594,411,256,291,404,533,685,726,798,813,795,641,436,271,321,556,648,577,430,313,334,395,494,645,698,766,637,674,536,316,210,223,"1,059","1,232","1,171",841,569,625,799,"1,027","1,330","1,424","1,564","1,450","1,469","1,177",752,481,544
